zip,lat,lng,city,timezone
80536,40.87458,-105.38842,Livermore,America/Denver
80537,40.38304,-105.20277,Loveland,America/Denver
80538,40.48174,-105.16825,Loveland,America/Denver
80540,40.23186,-105.39341,Lyons,America/Denver
80542,40.23431,-104.99882,Mead,America/Denver
80543,40.34645,-104.8532,Milliken,America/Denver
80544,40.10305,-105.17178,Niwot,America/Denver
80545,40.85911,-105.69644,Red Feather Lakes,America/Denver
80546,40.52415,-104.84986,Severance,America/Denver
80547,40.52948,-104.96347,Timnath,America/Denver
80549,40.84341,-105.05499,Wellington,America/Denver
80550,40.48213,-104.90223,Windsor,America/Denver
80601,39.96288,-104.80777,Brighton,America/Denver
80602,39.96369,-104.90661,Brighton,America/Denver
80603,39.9845,-104.74539,Brighton,America/Denver
80610,40.66996,-104.58269,Ault,America/Denver
80611,40.62015,-104.24964,Briggsdale,America/Denver
80612,40.89924,-104.82287,Carr,America/Denver
80615,40.5444,-104.64236,Eaton,America/Denver
80620,40.37425,-104.71337,Evans,America/Denver
80621,40.10732,-104.79841,Fort Lupton,America/Denver
80622,40.54235,-104.44732,Galeton,America/Denver
80623,40.28531,-104.78253,Gilcrest,America/Denver
80624,40.45683,-104.45635,Gill,America/Denver
80631,40.44216,-104.67809,Greeley,America/Denver
80634,40.40075,-104.79222,Greeley,America/Denver
80640,39.88536,-104.88202,Henderson,America/Denver
80642,40.05353,-104.61565,Hudson,America/Denver
80643,40.11186,-104.47164,Keenesburg,America/Denver
80644,40.3371,-104.43866,Kersey,America/Denver
80645,40.28409,-104.64731,La Salle,America/Denver
80646,40.47537,-104.69761,Lucerne,America/Denver
80648,40.76559,-104.72816,Nunn,America/Denver
80649,40.37924,-104.17595,Orchard,America/Denver
80650,40.6484,-104.77666,Pierce,America/Denver
80651,40.23717,-104.81409,Platteville,America/Denver
80652,40.11048,-104.2751,Roggen,America/Denver
80653,40.3931,-103.97685,Weldona,America/Denver
80654,40.13501,-104.07642,Wiggins,America/Denver
80701,40.13494,-103.81102,Fort Morgan,America/Denver
80705,40.27116,-103.83428,Log Lane Village,America/Denver
80720,40.07457,-103.18878,Akron,America/Denver
80721,40.68821,-102.15297,Amherst,America/Denver
80722,40.49515,-103.23833,Atwood,America/Denver
80723,40.15981,-103.55046,Brush,America/Denver
80726,40.91044,-102.7773,Crook,America/Denver
80727,40.02185,-102.51484,Eckley,America/Denver
80728,40.64,-102.87285,Fleming,America/Denver
80729,40.87439,-104.22632,Grover,America/Denver
80731,40.58734,-102.60558,Haxtun,America/Denver
80732,40.9884,-104.30525,Hereford,America/Denver
80733,40.35695,-103.47989,Hillrose,America/Denver
80734,40.52472,-102.29259,Holyoke,America/Denver
80735,39.71549,-102.25029,Idalia,America/Denver
80736,40.81635,-103.01907,Iliff,America/Denver
80737,40.88974,-102.19267,Julesburg,America/Denver
80740,39.74256,-103.38744,Lindon,America/Denver
80741,40.5598,-103.47339,Merino,America/Denver
80742,40.74855,-103.81371,New Raymer,America/Denver
80743,40.21588,-102.95679,Otis,America/Denver
80744,40.87471,-102.38355,Ovid,America/Denver
80745,40.88801,-103.40077,Padroni,America/Denver
80746,40.60706,-102.45695,Paoli,America/Denver
80747,40.94709,-103.16392,Peetz,America/Denver
80749,40.87574,-102.55354,Sedgwick,America/Denver
80750,40.41144,-103.60681,Snyder,America/Denver
80751,40.65263,-103.24504,Sterling,America/Denver
80754,40.69052,-103.64694,Stoneham,America/Denver
80755,39.89966,-102.35155,Vernon,America/Denver
80757,39.79244,-103.58588,Woodrow,America/Denver
80758,40.11998,-102.2122,Wray,America/Denver
80759,40.10892,-102.68759,Yuma,America/Denver
80801,39.73943,-103.11354,Anton,America/Denver
80802,38.84317,-102.16393,Arapahoe,America/Denver
80804,39.35644,-103.26331,Arriba,America/Denver
80805,39.29378,-102.44923,Bethune,America/Denver
80807,39.31575,-102.23303,Burlington,America/Denver
80808,39.00043,-104.30638,Calhan,America/Denver
80809,38.86503,-104.99733,Cascade,America/Denver
80810,38.82589,-102.4454,Cheyenne Wells,America/Denver
80812,39.67901,-102.89161,Cope,America/Denver
80813,38.76307,-105.09278,Cripple Creek,America/Denver
80814,38.94731,-105.17604,Divide,America/Denver
80815,39.40174,-103.08191,Flagler,America/Denver
80816,38.85162,-105.31591,Florissant,America/Denver
80817,38.58347,-104.67412,Fountain,America/Denver
80818,39.41539,-103.48119,Genoa,America/Denver
80819,38.94076,-105.00249,Green Mountain Falls,America/Denver
80820,38.77781,-105.56613,Guffey,America/Denver
80821,38.97366,-103.43248,Hugo,America/Denver
80822,39.67088,-102.67815,Joes,America/Denver
80823,38.69026,-103.46738,Karval,America/Denver
80824,39.66302,-102.49943,Kirk,America/Denver
80825,38.81864,-102.80624,Kit Carson,America/Denver
80826,39.21874,-103.69129,Limon,America/Denver
80827,39.05821,-105.46272,Lake George,America/Denver
80828,39.26643,-103.70983,Limon,America/Denver
80829,38.82922,-104.93289,Manitou Springs,America/Denver
80830,39.11313,-103.91139,Matheson,America/Denver
80831,38.98867,-104.51172,Peyton,America/Denver
80832,39.06344,-104.02769,Ramah,America/Denver
80833,38.73874,-103.93699,Rush,America/Denver
80834,39.29735,-102.88617,Seibert,America/Denver
80835,39.20933,-104.07223,Simla,America/Denver
80836,39.30518,-102.58239,Stratton,America/Denver
80840,39.00041,-104.85446,Usaf Academy,America/Denver
80860,38.69307,-105.09876,Victor,America/Denver
80861,39.32645,-102.74844,Vona,America/Denver
80862,38.90926,-103.06782,Wild Horse,America/Denver
80863,39.03004,-105.07132,Woodland Park,America/Denver
80864,38.69923,-104.18757,Yoder,America/Denver
80902,38.68683,-104.8127,Colorado Springs,America/Denver
80903,38.83249,-104.81342,Colorado Springs,America/Denver
80904,38.86321,-104.87197,Colorado Springs,America/Denver
80905,38.81855,-104.83649,Colorado Springs,America/Denver
80906,38.76744,-104.87023,Colorado Springs,America/Denver
80907,38.87912,-104.82137,Colorado Springs,America/Denver
80908,39.0463,-104.69094,Colorado Springs,America/Denver
80909,38.85255,-104.77434,Colorado Springs,America/Denver
